regime,arm,dataset,method,lr0,seed,nmse_full,triggered,steps_survived,frac_survived,pre_mean_loss,pre_nmse,pre_median_loss,pre_max_loss,pre_max_excess,pre_n_spike,pre_worst_window
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,8,0.005873785831110528,0,12000,1.0,0.002959697060196217,0.005873785831110528,0.0011552422074601054,0.4075504541397095,352.78355613040014,0,0.08692038303241134
E2-drift,lorenz_drift_cohg_lr0.03,lorenz,cohg,0.03,9,0.00487564069090751,0,12000,1.0,0.0024396608595727053,0.00487564069090751,0.000906472560018301,0.18514657020568848,204.24950337377064,32,0.05454864641651511
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,0,0.002679058914311899,0,12000,1.0,0.0013535398335563296,0.002679058914311899,0.00010202128760283813,2.1423234939575195,20998.789020360513,97,0.12499731639632955
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,1,0.0037899953508195366,0,12000,1.0,0.0019207194310077915,0.0037899953508195366,9.543713531456888e-05,0.5786194801330566,6062.833699124328,117,0.06057125092949718
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,2,0.0032343881567605368,0,12000,1.0,0.001632025797418054,0.0032343881567605368,0.00012876898108515888,1.4807329177856445,11499.142924850748,171,0.13407959630712868
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,3,0.0012394544985388277,0,12000,1.0,0.0006238886723035061,0.0012394544985388277,9.018199489219114e-05,0.20856618881225586,2312.7253845026175,81,0.03638422705233097
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,4,0.0017496951517094257,0,12000,1.0,0.0008858725594054777,0.0017496951517094257,9.415530075784773e-05,0.7415357828140259,7875.666870005934,9,0.07969731295481325
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,5,0.0017763716282248327,0,12000,1.0,0.0008950229909148506,0.0017763716282248327,0.0001673058286542073,0.32809287309646606,1961.0367178215786,38,0.05876664203358814
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,6,0.0019405247058178147,0,12000,1.0,0.0009749747895164873,0.0019405247058178147,0.0001144097768701613,0.5859105587005615,5121.1581276439865,129,0.07130253536859527
E2-drift,lorenz_drift_cohg_nogate_lr0.003,lorenz,cohg_nogate,0.003,7,0.006636155390161487,0,12000,1.0,0.0033455190982885556,0.006636155390161487,0.00017102359561249614,1.8915871381759644,11060.386909780022,148,0.09756221676245332
