regime,arm,method,lr0,ewc0,seed,avg_acc,bwt,collapse,events_stored,n_nonfinite,losses_available,n_spike,max_excess,worst_window_mean,min_task_acc,max_forget,worst_running_avg_acc,final_task_acc,gate_open_frac
E3,cifar100_cohg_nogate_lr0.05_ewc10,cohg_nogate,0.05,10,3,0.2087000072002411,-0.07611112131012811,0,0,0,0,NA,NA,NA,0.11300000548362732,0.12800000607967377,0.2087000072002411,0.30900001525878906,1.0
E3,cifar100_cohg_nogate_lr0.05_ewc10,cohg_nogate,0.05,10,4,0.2387000098824501,-0.06866667336887783,0,0,0,0,NA,NA,NA,0.18300001323223114,0.1290000081062317,0.2387000098824501,0.2900000214576721,1.0
E3,cifar100_cohg_nogate_lr0.05_ewc10,cohg_nogate,0.05,10,5,0.1584000088274479,-0.1532222272621261,0,0,0,0,NA,NA,NA,0.06599999964237213,0.29200001060962677,0.1450000051409006,0.29500001668930054,1.0
E3,cifar100_cohg_nogate_lr0.05_ewc10,cohg_nogate,0.05,10,6,0.1764000102877617,-0.15522222883171505,0,163,163,0,NA,NA,NA,0.10000000149011612,0.3150000274181366,0.11471429254327502,0.26200002431869507,1.0
E3,cifar100_cohg_nogate_lr0.05_ewc10,cohg_nogate,0.05,10,7,0.2637000098824501,-0.11377778483761682,0,0,0,0,NA,NA,NA,0.12700000405311584,0.19200000166893005,0.2637000098824501,0.35100001096725464,1.0
E3,cifar100_cohg_nogate_lr0.05_ewc10,cohg_nogate,0.05,10,8,0.24690001755952834,-0.06411111023690966,0,0,0,0,NA,NA,NA,0.1510000079870224,0.15700002014636993,0.2395000122487545,0.4140000343322754,1.0
E3,cifar100_cohg_nogate_lr0.05_ewc10,cohg_nogate,0.05,10,9,0.27570001035928726,-0.08455556134382884,0,0,0,0,NA,NA,NA,0.21800000965595245,0.12000000476837158,0.2696666792035103,0.3370000123977661,1.0
E3,cifar100_cohg_nogate_lr0.4_ewc10,cohg_nogate,0.4,10,0,0.13970000818371772,-0.01255555616484748,1,0,0,0,NA,NA,NA,0.09700000286102295,0.09600000828504562,0.11750000528991222,0.1380000114440918,1.0
E3,cifar100_cohg_nogate_lr0.4_ewc10,cohg_nogate,0.4,10,1,0.10520000457763672,-0.022333336373170216,1,0,0,0,NA,NA,NA,0.08500000089406967,0.0650000050663948,0.10500000417232513,0.10600000619888306,1.0
E3,cifar100_cohg_nogate_lr0.4_ewc10,cohg_nogate,0.4,10,2,0.13870000690221787,-0.03422222203678555,1,0,0,0,NA,NA,NA,0.12700000405311584,0.09199999272823334,0.12911111695898903,0.13500000536441803,1.0
E3,cifar100_cohg_nogate_lr0.4_ewc10,cohg_nogate,0.4,10,3,0.14560000449419022,-0.00788889080286026,1,0,0,0,NA,NA,NA,0.09400000423192978,0.056999996304512024,0.12175000458955765,0.16200000047683716,1.0
E3,cifar100_cohg_nogate_lr0.4_ewc10,cohg_nogate,0.4,10,4,0.1468000054359436,-0.00933333651887046,1,0,0,0,NA,NA,NA,0.1120000034570694,0.08000000566244125,0.14377778271834055,0.16200000047683716,1.0
E3,cifar100_cohg_nogate_lr0.4_ewc10,cohg_nogate,0.4,10,5,0.11620000749826431,-0.017111110190550487,1,0,0,0,NA,NA,NA,0.0950000062584877,0.050000011920928955,0.10880000442266465,0.17600001394748688,1.0
E3,cifar100_cohg_nogate_lr0.4_ewc10,cohg_nogate,0.4,10,6,0.1689000077545643,-0.0027777792678938974,0,0,0,0,NA,NA,NA,0.12400000542402267,0.01900000125169754,0.1689000077545643,0.14500001072883606,1.0
E3,cifar100_cohg_nogate_lr0.4_ewc10,cohg_nogate,0.4,10,7,0.1500000052154064,-0.038333334856563143,0,0,0,0,NA,NA,NA,0.08700000494718552,0.14900000393390656,0.14037500694394112,0.16200000047683716,1.0
E3,cifar100_cohg_nogate_lr0.4_ewc10,cohg_nogate,0.4,10,8,0.12900000512599946,-0.00988889237244924,1,0,0,0,NA,NA,NA,0.09000000357627869,0.0559999942779541,0.1063333364824454,0.15800000727176666,1.0
E3,cifar100_cohg_nogate_lr0.4_ewc10,cohg_nogate,0.4,10,9,0.15270000472664833,-0.031111113727092743,0,0,0,0,NA,NA,NA,0.08300000429153442,0.1809999942779541,0.13300000131130219,0.20000000298023224,1.0
E3,cifar100_cohg_r0_lr0.05_ewc10,cohg_r0,0.05,10,0,0.3411000147461891,-0.12355556587378184,0,0,0,0,NA,NA,NA,0.24300001561641693,0.16100001335144043,0.33400001376867294,0.47700002789497375,0.0006578947368421052
E3,cifar100_cohg_r0_lr0.05_ewc10,cohg_r0,0.05,10,1,0.3854000195860863,-0.07511111597220103,0,0,0,0,NA,NA,NA,0.1770000010728836,0.1419999897480011,0.2550000250339508,0.4880000352859497,0.0006578947368421052
